Nome do Evento,Data,Localização,Imagem
Mulheres que Inspiram 5ª Edição- Empoderamento Feminino e Empreendedorismo,"SAB, 16 MAR · 09:00","Blanc House casa de festas - Itaguaí, RJ",https://images.sympla.com.br/63d9940e3333b-xs.jpg
Mulheres na História do Rio,"SAB, 13 JAN · 09:00","Praça XV - Rio de Janeiro, RJ",https://images.sympla.com.br/658ab8daea615-xs.png
Workshop em SISTEMAS DE INFUSÃO CONTÍNUA DE INSULINA,"SAB, 23 MAR · 08:00","Local a definir - Rio de Janeiro, RJ",https://images.sympla.com.br/65195f1017c32-xs.png
VI SIMPÓSIO DA ABRASFIPICS: ATUALIZAÇÃO EM NOVAS TECNOLOGIAS E TERAPIAS INJETÁVEIS NA FISIOTERAPIA,"SAB, 13 JAN · 09:00","Centro Cultural Crefito 2 - Rio de Janeiro, RJ",https://images.sympla.com.br/65820768b5b17-xs.png
Métodos e Técnicas de Avaliação do Paciente com Dor,"SAB, 27 JAN · 08:00","Local a definir - Rio de Janeiro, RJ",https://images.sympla.com.br/6582d8f70a954-xs.png
CORE 100%,"DOM, 25 FEV · 08:00","Bodytech - Recreio Shopping - Rio de Janeiro, RJ",https://images.sympla.com.br/6576524de2969-xs.jpg
Transportes Turísticos - OUTUBRO 2024 - acesso ao município de Teresópolis,"01 OUT
31 OUT","Centro de Atendimento ao Turista (CAT) - Teresópolis, RJ",https://images.sympla.com.br/657a13964d83f-xs.png
Imersão em Direito Civil (Desconto) (2),"27 DEZ
28 DEZ","Praia de Botafogo, 252 - apto 804 - Rio de Janeiro, RJ",https://images.sympla.com.br/657b033dbc642-xs.jpg
II VM EXPERIENCE RJ,"SAB, 16 MAR · 08:00","Local a definir - Rio de Janeiro, RJ",https://images.sympla.com.br/657348645b826-xs.jpg
Mergulho em você! Segunda Edição,"QUA, 27 DEZ · 19:00","Da Praça Coworking - Rio de Janeiro, RJ",https://images.sympla.com.br/656517fd68b83-xs.jpg
Curso: Perfil Psicomotor da Criança - IMERSÃO - RJ - 2024 (3º lote),"11 DEZ
10 JAN","Clube Hebraica - Rio de Janeiro, RJ",https://images.sympla.com.br/65502a7831fd9-xs.jpg
Curso: Perfil Psicomotor da Criança - IMERSÃO - RJ - 2024,"26 JAN
28 JAN","Clube Hebraica - Rio de Janeiro, RJ",https://images.sympla.com.br/65502a7831fd9-xs.jpg
SUMMIT ATUALIZA DP - RIO DE JANEIRO,"SEX, 19 JAN · 08:00","Nova América Offices - Rio de Janeiro, RJ",https://images.sympla.com.br/656633247df7c-xs.jpg
"O incrível encontro entre Mim, Eu Mesma e Cada Um que me compõe","27 FEV
29 FEV","Centro Cultural Justiça Federal - Rio de Janeiro, RJ",https://images.sympla.com.br/658b3d2143f65-xs.jpg
Simpósio Internacional de Gastroenterologia Veterinária,"DOM, 07 ABR · 18:00","Local a definir - Rio de Janeiro, RJ",https://images.sympla.com.br/65787653e8389-xs.jpg
Photo in Rio Conference 24,"02 JUL
04 JUL","Hotel Vila Galé Rio de Janeiro - Rio de Janeiro, RJ",https://images.sympla.com.br/6568c31f2be27-xs.jpg
