Nome do Evento,Data,Localização,Imagem
ROBLOX - AO VIVO NO RIO DE JANEIRO-RJ,"SAB, 20 JAN · 15:00","Teatro Antônio Fagundes - Rio de Janeiro, RJ",https://images.sympla.com.br/65738ce247590-xs.png
ROBLOX UMA NOVA AVENTURA AO VIVO* BARRA DA TIJUCA TEATRO ANTONIO FAGUNDES*,"SAB, 20 JAN · 15:00","Teatro Antônio Fagundes - Rio de Janeiro, RJ",https://images.sympla.com.br/655391bb32177-xs.png
Moana e Suas Aventuras no mar,"DOM, 21 JAN · 17:00","Teatro Municipal Dr. Átila Costa - São Pedro da Aldeia, RJ",https://images.sympla.com.br/65823c155817e-xs.jpg
21/01 - Samba de Malandro 2a Edição - Igor Benatti,"DOM, 21 JAN · 17:00","Laba Comedy Bar - Mesquita, RJ",https://images.sympla.com.br/65791e0f53a11-xs.jpg
27/01 - FlashBack - Anos 70-80-90,"SAB, 27 JAN · 20:00","Laba Comedy Bar - Mesquita, RJ",https://images.sympla.com.br/657e1a812a432-xs.png
Festival de Solos: Dia 1,"QUI, 11 JAN · 19:00","Experience Music - Rio de Janeiro, RJ",https://images.sympla.com.br/658865c792995-xs.png
Festival de Solos: Dia 2,"QUI, 11 JAN · 20:30","Experience Music - Rio de Janeiro, RJ",https://images.sympla.com.br/65886ee6d323c-xs.png
A primeira vez que minha mãe morreu - Magno Martins,"QUI, 18 JAN · 20:30","Experience Music - Rio de Janeiro, RJ",https://images.sympla.com.br/657b198c115f9-xs.png
Cabaré Latino Show Burlesco,"SEX, 12 JAN · 22:15","Oscar Selvagem Pub - Rio de Janeiro, RJ",https://images.sympla.com.br/6589f6240149a-xs.png
Festival de Solos: Dia 4,"QUI, 25 JAN · 19:00","Experience Music - Rio de Janeiro, RJ",https://images.sympla.com.br/658870528551c-xs.png
Festival de Solos: Dia 3,"QUI, 18 JAN · 19:00","Experience Music - Rio de Janeiro, RJ",https://images.sympla.com.br/65886faadc59a-xs.png
GIRA DA COMÉDIA com Beto Gama,"QUI, 11 JAN · 20:00","Casarão Sebastian - Niterói, RJ",https://images.sympla.com.br/656e67eb3854c-xs.jpg
