Nome do Evento,Data,Localização,Imagem
SAMBA D´COROA - VESTE BRANCO,"SAB, 30 DEZ · 15:00","Estr. do Portela, 600 - Rio de Janeiro, RJ",https://images.sympla.com.br/65709d37a8a0f-xs.jpg
Sexta com White Party Pré Reveillon | Tributo Rolling Stones e Especial Bon Jovi,"SEX, 29 DEZ · 18:00","Brooks Pub (Méier) - Rio de Janeiro, RJ",https://images.sympla.com.br/6585c448790fb-xs.jpg
Samba que elas querem,"SEX, 29 DEZ · 18:00","Beco do Rato - Rio de Janeiro, RJ",https://images.sympla.com.br/6569e11cb93ee-xs.jpg
PRÉ-REVEILLON BAILÃO CARIOCA 30 DEZ - SÁBADO,"SAB, 30 DEZ · 23:00","CENTRO CULTURAL ROCK EXPERIENCE - Rio de Janeiro, RJ",https://images.sympla.com.br/654cb3ad83709-xs.jpg
NOVOS TEMPOS - JORGE ARAGÃO & TONINHO GERAES,"DOM, 07 JAN · 14:00","Renascença Clube - Rio de Janeiro, RJ",https://images.sympla.com.br/6577658886357-xs.jpg
SUN binha #PéNaAreia,"SAB, 27 JAN · 14:00","Faro Beach Club - Rio de Janeiro, RJ",https://images.sympla.com.br/65858a94666c0-xs.jpg
Samba da Folhas - Estreia,"SAB, 13 JAN · 16:00","Quintal do Terreiro - Rio de Janeiro, RJ",https://images.sympla.com.br/6584903b843a3-xs.jpg
PRIMEIRO FRUTA DO ANO - PRA OXÓSSI DANÇAR,"SAB, 20 JAN · 16:00","Projeto Fruta do Pé - Rio de Janeiro, RJ",https://images.sympla.com.br/6583623ab1777-xs.jpg
PISEIRO DEBOCHADO,"SEX, 05 JAN · 21:00","Havana 59 Lapa - Rio de Janeiro, RJ",https://images.sympla.com.br/65873c4ca4a70-xs.png
RÉVEILLON DO MIRANTE,"DOM, 31 DEZ · 22:00","MIRANTE NALAJE - Rio de Janeiro, RJ",https://images.sympla.com.br/650caedcd81b7-xs.jpg
Feijoada do Colete Curto - Homenagem a Marquinho PQD,"DOM, 07 JAN · 14:00","Projeto Fruta do Pé - Rio de Janeiro, RJ",https://images.sympla.com.br/6585d3477e2d8-xs.png
Caminhos Cariocas: Especial Rota do Samba,"DOM, 14 JAN · 09:00","Pedra do Sal - Rio de Janeiro, RJ",https://images.sympla.com.br/62d6de3c94c6a-xs.jpg
Busco Esposa | Dias de Greve | Mimi,"SAB, 13 JAN · 18:00","R. Justiniano da Rocha, 466 - Rio de Janeiro, RJ",https://images.sympla.com.br/657dd48383e4b-xs.jpg
FESTA PODEROSA - 13 JANEIRO - MACAÉ,"SAB, 13 JAN · 23:00","Lounge Beach (Antigo Rustique) - Macaé, RJ",https://images.sympla.com.br/6586fef7b9676-xs.jpg
ESPECIAL RED HOT CHILI PEPPERS - BANDA SEX MÁGIC,"SEX, 26 JAN · 22:00","DRUNKS PUB - Rio de Janeiro, RJ",https://images.sympla.com.br/6566269a8801b-xs.png
BAILE CHARME DE MADUREIRA - DELIVERY,"SEX, 12 JAN · 18:00","Selina Lapa - Rooftop Lapa - Rio de Janeiro, RJ",https://images.sympla.com.br/6585e1ba568e9-xs.jpg
ESPECIAL FOOFIGTHERS- MADE IN ROCK,"SEX, 05 JAN · 22:00","DRUNKS PUB - Rio de Janeiro, RJ",https://images.sympla.com.br/656f9d5ae1b44-xs.png
AINDA BEM QUE É PAGODE - 2ª EDIÇÃO,"DOM, 14 JAN · 17:00","GALPÃO DO SAMBA - Rio de Janeiro, RJ",https://images.sympla.com.br/6580b5ff2c1fe-xs.jpg
ESPECIAL RAMMSTEIN -STEIN STERN,"SEX, 19 JAN · 22:30","DRUNKS PUB - Rio de Janeiro, RJ",https://images.sympla.com.br/656f981f3ef74-xs.png
TRIBUTO GRUNGE - BLACK SMITH,"SAB, 20 JAN · 22:00","DRUNKS PUB - Rio de Janeiro, RJ",https://images.sympla.com.br/657733efc36eb-xs.png
URSADA 2 ANOS (05/01) OPEN BAR,"SEX, 05 JAN · 23:00","Rock Experience - Rio de Janeiro, RJ",https://images.sympla.com.br/6579f3c696f9d-xs.png
HavanaLab apresenta Thays Sodré & Negadeza,"SAB, 06 JAN · 23:00","Havana 59 Lapa - Rio de Janeiro, RJ",https://images.sympla.com.br/6585ef50629c4-xs.jpg
KRUGER - TRIBUTO SYSTEM OF DOWN -LINKIN PARK,"SAB, 27 JAN · 22:00","DRUNKS PUB - Rio de Janeiro, RJ",https://images.sympla.com.br/6310cbbeeead9-xs.png
Réveillon do Bailão,"DOM, 31 DEZ · 22:00","Casa Dellas - Rio de Janeiro, RJ",https://images.sympla.com.br/65500d197fe0c-xs.png
WALKING EMO DE VERÃO,"SAB, 20 JAN · 22:00","Closet Pub - Cabo Frio, RJ",https://images.sympla.com.br/6577bdae9cab3-xs.png
Forró de Pife DESCALÇO - A volta do que nao foi ! A moda é fazer cedinho,"SAB, 13 JAN · 17:00","Rampa, Lugar de Criação - Rio de Janeiro, RJ",https://images.sympla.com.br/658995f3ec2e4-xs.jpg
PARKER CONVIDA: JOSS DEE,"SAB, 06 JAN · 18:00","Selina Lapa - Rooftop Lapa - Rio de Janeiro, RJ",https://images.sympla.com.br/658a2cc4c839a-xs.png
Réveillon Beneficente,"01 JAN
02 JAN","Mamuska Club - Rio de Janeiro, RJ",https://images.sympla.com.br/63a4bfba23086-xs.png
CarnaPride: Pré-Carnaval LGBT+ | Grátis 0800 | Praça Marechal Âncora Centro - RJ,"SAB, 20 JAN · 19:00","Praça Marechal Âncora - Rio de Janeiro, RJ",https://images.sympla.com.br/65807b75c27bd-xs.png
Reveillon Verde e Rosa no Bar Mangueira,"DOM, 31 DEZ · 20:00","Bar Mangueira - Rio de Janeiro, RJ",https://images.sympla.com.br/654f014a90be5-xs.png
Bar mangueira receve Samba da Sopa com Prof. Junior,"SEX, 29 DEZ · 21:00","Bar Mangueira - Rio de Janeiro, RJ",https://images.sympla.com.br/658b0082c90a6-xs.png
AGYTO de Verão NO BARCO + Djs I OPEN BAR E OPEN FOOD I Marina da Glória,"DOM, 07 JAN · 13:00","AGYTO RIO - Rio de Janeiro, RJ",https://images.sympla.com.br/655f8c6f45c78-xs.jpg
Reveillon Cafe de La Musique Buzios 2024,"DOM, 31 DEZ · 22:00","Praia de Manguinhos - Buzios-RJ - Armação dos Búzios, RJ",https://images.sympla.com.br/64d2775e4e6fa-xs.png
TriboQ | Ensaios de Verão 2024 #1 - 07/Jan,"DOM, 07 JAN · 18:00","Camarote Folia Tropical - Rio de Janeiro, RJ",https://images.sympla.com.br/65720e44d0a78-xs.png
WHITE PARTY :: 2 PISTAS + Dj RAMEMES :: Super Open bar,"SAB, 30 DEZ · 23:00","Safari club rio - Nova Iguaçu, RJ",https://images.sympla.com.br/658ac1096d2cb-xs.jpg
RENATO DA ROCINHA - PRÉ RÉVEILLON,"SEX, 29 DEZ · 18:00","Bar do Mumuzinho - Rio de Janeiro, RJ",https://images.sympla.com.br/6564a8ab21c16-xs.jpg
AGYTO - WHITE PARTY + Djs I RODADAS DE ESPUMANTE I OPEN BAR I Lapa,"SAB, 30 DEZ · 23:00","AGYTO RIO - Rio de Janeiro, RJ",https://images.sympla.com.br/6579be371c30e-xs.jpg
AGYTO- O ÚLTIMO OPENZÃO + DJS | OPEN BAR | LAPA,"SEX, 29 DEZ · 23:00","AGYTO RIO - Rio de Janeiro, RJ",https://images.sympla.com.br/657871ab7c824-xs.jpg
BAR DO MUMUZINHO: MOLEJO - PRÉ RÉVEILLON,"QUI, 28 DEZ · 18:00","Bar do Mumuzinho - Rio de Janeiro, RJ",https://images.sympla.com.br/6564a9ce8839c-xs.jpg
RÉVEILLON SAMBA DE SANTA - MOURISCO MAR,"DOM, 31 DEZ · 20:30","Mourisco Mar - Rio de Janeiro, RJ",https://images.sympla.com.br/654b9155e751d-xs.jpg
Reveillon copacabana 2024 All inclusive Quiosque Buenos Aires,"DOM, 31 DEZ · 20:00","Quiosque Buenos Aires - Rio de Janeiro, RJ",https://images.sympla.com.br/5fb1ee148000d-xs.jpg
Festa Penetra - Último PT do Ano - OpenBar 20$ lote promo - 2 formatos de open bar - Sábado 30/12,"SAB, 30 DEZ · 23:00","Boate Papa G - Rio de Janeiro, RJ",https://images.sympla.com.br/658a11b5f3a54-xs.jpg
DEEP IN BOAT,"DOM, 21 JAN · 08:00","Praia de Itacuruçá - rio de janeiro , RJ",https://images.sympla.com.br/65219a3099a01-xs.png
Surrender Party Curtindo o Verão - Sábado 06/01,"SAB, 06 JAN · 23:00","Experience Music - Rio de Janeiro, RJ",https://images.sympla.com.br/655b8b6f47bc8-xs.png
CLAREOU / FEIJOADA + OPEN BAR,"SAB, 13 JAN · 13:00","Bendito Lounge - Duque de Caxias, RJ",https://images.sympla.com.br/6566367925c1f-xs.jpg
RAVEILLON 2024,"DOM, 31 DEZ · 23:00","Santhorini club rj festas e eventos - Rio de Janeiro, RJ",https://images.sympla.com.br/656b558add5e8-xs.jpg
Listen Kpop 21 Janeiro 2024 Centro RJ,"DOM, 21 JAN · 11:00","Biblioteca Parque Estadual - Rio de Janeiro, RJ",https://images.sympla.com.br/656f7b92b6912-xs.png
amo garotas do futuro | OPEN BAR |,"SAB, 06 JAN · 23:00","Ganjah Coffeeshop Lapa - Rio de Janeiro, RJ",https://images.sympla.com.br/6560d15a07163-xs.png
Reveillon Vosso Bar 2024,"DOM, 31 DEZ · 21:00","R. Avaré, 223 - Rio de Janeiro, RJ",https://images.sympla.com.br/65214225bef41-xs.png
Aniversário do Cacique de Ramos,"SEX, 19 JAN · 17:00","Templo Sagrado do Samba Cacique de Ramos - Rio de Janeiro, RJ",https://images.sympla.com.br/6568b3eeb0999-xs.jpg
Samba na Praça - Fundo de Quintal,"DOM, 21 JAN · 15:00","Boteco Fundo de Quintal - Rio de Janeiro, RJ",https://images.sympla.com.br/6567b51c7d3f8-xs.jpg
Feijoada da Imperatriz: Belo,"SAB, 27 JAN · 12:00","Quadra de Ensaios Luiz Pacheco Drumond - Rio de Janeiro, RJ",https://images.sympla.com.br/656914ba6fad3-xs.png
Reveillon Beach House,"DOM, 31 DEZ · 22:00","Beach House Gigoia - Rio de Janeiro, RJ",https://images.sympla.com.br/6586315179c19-xs.jpg
Réveillon Tô no Trabalho 2024|31DEZ - 21h | Rio das Ostras,"DOM, 31 DEZ · 21:00","Tô no Trabalho | Costa Azul | Rio das Ostras - Rio das Ostras, RJ",https://images.sympla.com.br/653001191e7b9-xs.jpg
Pré Carnaval ! Churrasco ! Música! Piscina e Muito Mais!,"DOM, 07 JAN · 07:00","Circuito das Águas - Macaé, RJ",https://images.sympla.com.br/656dfa08beaeb-xs.jpg
CARNAVAL ! BATALHA DOS CONFETES EM CONSERVÁTÓRIA!,"SAB, 20 JAN · 11:00","Conservatória - Valença, RJ",https://images.sympla.com.br/656c77bb61d54-xs.png
FESTA DO LÉO - 1º POOL 2024,"DOM, 07 JAN · 12:00","Marabu Piscina Clube - Rio de Janeiro, RJ",https://images.sympla.com.br/6585feb7412a2-xs.png
Réveillon da Gigoia 2024,"DOM, 31 DEZ · 21:00","Ilha de Gigoia - Rio de Janeiro, RJ",https://images.sympla.com.br/651f3305b6189-xs.png
